Nsub,Npheno,Method,Average time per simulation in second,"Time for 10,000 Simulations in Hour"
5000,4,CCT,0.2897605150658638,0.8048903196273995
5000,4,CCT_includeXsquare,0.30522776265442375,0.8478548962622883
5000,4,SMAT,0.7912743435461074,2.197984287628076
5000,4,SMAT_includeXsquare,0.8025712046667934,2.2293644574077596
5000,6,CCT,0.4503344208315013,1.2509289467541702
5000,6,CCT_includeXsquare,0.4888704539000986,1.3579734830558294
5000,6,SMAT,1.0805300691146402,3.001472414207334
5000,6,SMAT_includeXsquare,1.1473176505122331,3.1869934736450922
5000,8,CCT,0.620195378336683,1.7227649398241194
5000,8,CCT_includeXsquare,0.67788540186435,1.88301500517875
5000,8,SMAT,1.5645372001115232,4.345936666976454
5000,8,SMAT_includeXsquare,1.7635154692944142,4.898654081373373
5000,10,CCT,0.8397094415675846,2.3325262265766242
5000,10,CCT_includeXsquare,0.9419442508280276,2.616511807855632
5000,10,SMAT,2.514326387082785,6.9842399641188475
5000,10,SMAT_includeXsquare,3.1147853543475272,8.652181539854242
5000,12,CCT,1.224225713865832,3.400626982960644
5000,12,CCT_includeXsquare,1.353069669438526,3.7585268595514614
5000,12,SMAT,4.789527133986354,13.304242038850983
5000,12,SMAT_includeXsquare,6.455997646787391,17.93332679663164
10000,4,CCT,0.538037742542848,1.4945492848412445
10000,4,CCT_includeXsquare,0.5638337429635227,1.566204841565341
10000,4,SMAT,1.5209963707260787,4.224989918683552
10000,4,SMAT_includeXsquare,1.5381630301959812,4.272675083877726
10000,6,CCT,0.8381130975082515,2.3280919375229208
10000,6,CCT_includeXsquare,0.9130669197980313,2.5362969994389757
10000,6,SMAT,2.0599712547689677,5.722142374358244
10000,6,SMAT_includeXsquare,2.1946192646123466,6.096164623923185
10000,8,CCT,1.1806149952806535,3.279486098001815
10000,8,CCT_includeXsquare,1.3206334413237875,3.6684262258994096
10000,8,SMAT,3.0942722859218716,8.595200794227422
10000,8,SMAT_includeXsquare,3.4165289859846237,9.490358294401732
10000,10,CCT,1.663902894354239,4.6219524843173305
10000,10,CCT_includeXsquare,1.8261885102357716,5.072745861766032
10000,10,SMAT,5.404470348640532,15.01241763511259
10000,10,SMAT_includeXsquare,6.929443473623693,19.248454093399147
10000,12,CCT,2.0639213590219616,5.733114886172116
10000,12,CCT_includeXsquare,2.3347201287817207,6.485333691060335
10000,12,SMAT,8.513766466252132,23.64935129514481
10000,12,SMAT_includeXsquare,11.377878576514497,31.605218268095825
