Nsub,Npheno,Method,Average time per simulation in second,"Time for 10,000 Simulations in Hour"
5000,4,CCT,0.32094916438907384,0.8915254566363162
5000,4,CCT_includeXsquare,0.33809921395480635,0.9391644832077954
5000,4,SMAT,0.840925701148808,2.3359047254133554
5000,4,SMAT_includeXsquare,0.8536865827515722,2.371351618754367
5000,6,CCT,0.5182562430247664,1.4396006750687955
5000,6,CCT_includeXsquare,0.5620397914379834,1.5612216428832872
5000,6,SMAT,1.2173194977864623,3.38144304940684
5000,6,SMAT_includeXsquare,1.2939138870418074,3.5942052417827983
5000,8,CCT,0.6777449039295315,1.8826247331375874
5000,8,CCT_includeXsquare,0.7390642633378506,2.052956287049585
5000,8,SMAT,1.6730645745888353,4.647401596080098
5000,8,SMAT_includeXsquare,1.9070148272767662,5.297263409102128
5000,10,CCT,0.926311779908836,2.573088277524544
5000,10,CCT_includeXsquare,1.034671337236464,2.8740870478790668
5000,10,SMAT,2.7272113913342357,7.575587198150655
5000,10,SMAT_includeXsquare,3.680780590102076,10.224390528061322
5000,12,CCT,1.5435022795319557,4.28750633203321
5000,12,CCT_includeXsquare,1.449934471295774,4.027595753599372
5000,12,SMAT,4.935355402565002,13.709320562680562
5000,12,SMAT_includeXsquare,7.0662367556616665,19.628435432393516
10000,4,CCT,0.5962422964707018,1.656228601307505
10000,4,CCT_includeXsquare,0.6249221132189037,1.7358947589413989
10000,4,SMAT,1.602661979342997,4.451838831508325
10000,4,SMAT_includeXsquare,1.626174889920652,4.517152472001811
10000,6,CCT,0.9209327756136657,2.5581465989268493
10000,6,CCT_includeXsquare,1.0921736459478735,3.0338156831885374
10000,6,SMAT,2.1845208218842744,6.068113394122984
10000,6,SMAT_includeXsquare,2.33405515756011,6.4834865487780835
10000,8,CCT,1.3746092096000908,3.818358915555808
10000,8,CCT_includeXsquare,1.5799724320098758,4.388812311138544
10000,8,SMAT,3.444971768076717,9.569366022435325
10000,8,SMAT_includeXsquare,3.717326709952951,10.325907527647086
10000,10,CCT,1.7898148902565238,4.971708028490344
10000,10,CCT_includeXsquare,1.7991735861465334,4.997704405962593
10000,10,SMAT,5.705409398323297,15.848359439786938
10000,10,SMAT_includeXsquare,7.4707499657675625,20.75208323824323
10000,12,CCT,2.2083005382820966,6.1341681618947135
10000,12,CCT_includeXsquare,2.6441054706484084,7.344737418467801
10000,12,SMAT,9.039895758728683,25.11082155202412
10000,12,SMAT_includeXsquare,11.882756901612877,33.00765806003577
